variant_id,s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
p1_t1_f2,325.1998,-30.3455,-39.3492,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.2998,-30.3087,-39.2562,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.3998,-30.2714,-39.1634,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.4997,-30.2339,-39.0708,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.5998,-30.1962,-38.9781,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.6997,-30.1585,-38.8855,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.7996,-30.1208,-38.7930,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.8997,-30.0831,-38.7003,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,325.9996,-30.0458,-38.6076,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.0997,-30.0087,-38.5147,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.1996,-29.9721,-38.4217,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.2996,-29.9360,-38.3284,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.3997,-29.9005,-38.2349,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.4997,-29.8656,-38.1412,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.5996,-29.8315,-38.0472,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.6996,-29.7982,-37.9530,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.7996,-29.7656,-37.8584,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.8995,-29.7337,-37.7637,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,326.9995,-29.7025,-37.6687,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.0995,-29.6720,-37.5735,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.1995,-29.6419,-37.4781,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.2996,-29.6122,-37.3826,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.3995,-29.5827,-37.2871,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.4995,-29.5532,-37.1916,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.5995,-29.5235,-37.0961,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.6995,-29.4935,-37.0007,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.7995,-29.4629,-36.9055,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.8994,-29.4315,-36.8106,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,327.9995,-29.3992,-36.7159,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.0994,-29.3656,-36.6218,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.1994,-29.3307,-36.5281,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.2994,-29.2942,-36.4350,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.3994,-29.2559,-36.3426,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.4994,-29.2159,-36.2510,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.5994,-29.1738,-36.1603,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.6993,-29.1297,-36.0706,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.7994,-29.0834,-35.9819,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.8993,-29.0349,-35.8945,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,328.9993,-28.9842,-35.8083,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.0993,-28.9313,-35.7235,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.1993,-28.8760,-35.6402,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.2702,-28.8354,-35.5820,0.000,PERP_PARK,1,T_PARK,T_PARK_END,EXIT_ZONE,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.2993,-28.8184,-35.5584,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.3993,-28.7586,-35.4783,0.000,PERP_PARK,1,T_PARK,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.4196,-28.7462,-35.4622,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.4993,-28.6969,-35.3996,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.5992,-28.6333,-35.3225,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.6992,-28.5680,-35.2468,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.7992,-28.5010,-35.1725,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.8993,-28.4323,-35.0998,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,329.9992,-28.3621,-35.0287,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.0992,-28.2904,-34.9590,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.1992,-28.2171,-34.8910,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.2992,-28.1425,-34.8244,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.3991,-28.0665,-34.7595,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.4992,-27.9891,-34.6961,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.5991,-27.9105,-34.6343,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.6991,-27.8307,-34.5741,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.7991,-27.7496,-34.5156,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
