s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
101.3715,-53.2610,-4.6759,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
101.5969,-53.1231,-4.4977,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
101.8223,-52.9851,-4.3194,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
102.0477,-52.8471,-4.1411,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
102.2731,-52.7092,-3.9629,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
102.4989,-52.6065,-3.7618,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
102.7247,-52.5038,-3.5607,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
102.9505,-52.4012,-3.3596,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
103.1763,-52.2985,-3.1585,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
103.4492,-52.1864,-2.9097,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
103.7221,-52.0743,-2.6608,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
103.9950,-51.9622,-2.4120,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
104.2823,-51.8434,-2.1505,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
104.5695,-51.7246,-1.8889,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
104.8568,-51.6058,-1.6274,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
105.1293,-51.4726,-1.3897,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
105.4017,-51.3394,-1.1520,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
105.6742,-51.2062,-0.9143,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
105.9705,-51.0794,-0.6465,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
106.2669,-50.9526,-0.3786,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
106.5632,-50.8258,-0.1108,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
106.8505,-50.7147,0.1541,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
107.1377,-50.6037,0.4190,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
107.4249,-50.4926,0.6839,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
107.6941,-50.3600,0.9181,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
107.9632,-50.2274,1.1523,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
108.2323,-50.0948,1.3865,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
108.4898,-49.9744,1.6141,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
108.7472,-49.8541,1.8416,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
109.0047,-49.7337,2.0692,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
109.2999,-49.5826,2.3229,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
109.5952,-49.4316,2.5766,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
109.8905,-49.2805,2.8304,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
110.1858,-49.1294,3.0841,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
110.4345,-49.0319,3.3129,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
110.6832,-48.9343,3.5416,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
110.9319,-48.8368,3.7704,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
111.1645,-48.6646,3.9268,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
111.3971,-48.4924,4.0831,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
111.6297,-48.3202,4.2395,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
111.8623,-48.1480,4.3959,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
112.1197,-47.9128,4.5002,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
112.3770,-47.6775,4.6045,0.000,NORMAL,1,BEND,,,,,PREVIEW_DEFAULT
