segment_id,point_index,branch_group,branch_option,selection_policy,next_segments,camera_task,camera_group,camera_start_index,camera_end_index,lidar_task,lidar_start_index,lidar_end_index,x,y,yaw_deg,gear,origin_latitude_deg,origin_longitude_deg,origin_altitude_m,position_reference,up_m,mission,speed_profile,stop_here,traffic_exit,camera_segment_id,source_segment_id,source_point_index,entry_point
to_forward3,68,,,,P_entry,off,,0,73,parking,0,73,-17.16571666,-53.83671247,70.921944,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,44,
to_forward3,69,,,,P_entry,off,,0,73,parking,0,73,-17.10449689,-53.64698150,67.819243,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,45,
to_forward3,70,,,,P_entry,off,,0,73,parking,0,73,-17.01563269,-53.46858955,62.603978,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,46,
to_forward3,71,,,,P_entry,off,,0,73,parking,0,73,-16.92107895,-53.29307230,64.526084,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,47,
to_forward3,72,,,,P_entry,off,,0,73,parking,0,73,-16.84436088,-53.10908964,69.005771,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,48,
to_forward3,73,,,,P_entry,off,,0,73,parking,0,73,-16.77829521,-52.92099592,70.692464,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,49,
P_entry,0,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.71252646,-52.73278832,68.939772,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,50,
P_entry,1,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.63508500,-52.54908953,63.654608,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,51,
P_entry,2,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.53592946,-52.37618299,60.500774,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,52,
P_entry,3,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.43876999,-52.20209299,62.076095,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,53,
P_entry,4,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.34924919,-52.02396074,65.216209,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,54,
P_entry,5,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.27172236,-51.84030003,69.045464,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,55,
P_entry,6,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.20674219,-51.65183499,71.040147,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,56,
P_entry,7,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.14217585,-51.46321151,68.448634,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,57,
P_entry,8,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-16.06044149,-51.28140326,65.898129,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,58,
P_entry,9,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.97936140,-51.09926714,68.837047,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,59,
P_entry,10,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.91667890,-50.91004918,71.701286,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,60,
P_entry,11,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.85418167,-50.72073011,69.686503,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,61,
P_entry,12,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.77835027,-50.53636887,70.512512,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,62,
P_entry,13,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.72135114,-50.34536778,75.477600,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,63,
P_entry,14,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.67844637,-50.15069123,74.303883,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,64,
P_entry,15,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.61367518,-49.96219867,71.662704,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,65,
P_entry,16,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.55302635,-49.77228257,71.737051,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,66,
P_entry,17,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.48872721,-49.58356976,68.791240,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,67,
P_entry,18,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.40891414,-49.40090751,67.959320,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,68,
P_entry,19,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.33916814,-49.21415344,71.918883,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,69,
P_entry,20,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.28528343,-49.02223634,71.641825,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,70,
P_entry,21,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.21374354,-48.83619220,67.668650,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,71,
P_entry,22,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.13383697,-48.65354646,67.525354,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,72,
P_entry,23,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-15.06135399,-48.46783033,68.229816,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,73,
P_entry,24,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.98596012,-48.28326925,69.310064,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,74,
P_entry,25,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.92053217,-48.09495813,71.342575,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,75,
P_entry,26,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.85841067,-47.90551655,70.951608,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,76,
P_entry,27,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.79041584,-47.71810714,70.410052,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,77,
P_entry,28,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.72472447,-47.52987356,71.512741,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,78,
P_entry,29,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.66399134,-47.33998472,70.907924,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,79,
P_entry,30,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.59434467,-47.15319067,70.326102,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,80,
P_entry,31,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.52976831,-46.96457555,71.316178,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,81,
P_entry,32,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.46661379,-46.77547489,70.843678,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,82,
P_entry,33,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.39893496,-46.58794913,70.679893,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,83,
P_entry,34,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.33470101,-46.39921447,70.634585,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,84,
P_entry,35,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.26672543,-46.21179525,68.415036,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,85,
P_entry,36,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.18808211,-46.02861327,67.376104,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,86,
P_entry,37,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.11335650,-45.84378274,69.857927,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,87,
P_entry,38,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-14.05086024,-45.65448839,70.644654,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,88,
P_entry,39,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.98123996,-45.46768216,69.619000,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,89,
P_entry,40,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.91199958,-45.28072401,68.650438,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,90,
P_entry,41,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.83610352,-45.09637581,67.178924,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,91,
P_entry,42,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.75735605,-44.91322005,67.416933,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,92,
P_entry,43,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.68299260,-44.72824383,69.824001,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,93,
P_entry,44,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.61990103,-44.53914476,72.274804,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,94,
P_entry,45,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.56161382,-44.34849051,68.613335,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,95,
P_entry,46,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.47498078,-44.16909839,63.834946,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,96,
P_entry,47,,,,P1_reverse|P2_reverse,off,,0,163,parking,0,163,-13.38585907,-43.99075907,66.997396,FORWARD,37.288953836107,127.107642314493,0.0,base_link,0,PARALLEL_PARK,,,,,P_entry,97,
