s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
262.6540,-47.0682,-23.2537,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.7539,-46.9754,-23.2907,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.8539,-46.8817,-23.3256,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
262.9540,-46.7871,-23.3581,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
263.0516,-46.6939,-23.3871,0.000,TRAFFIC,1,TRAFFIC,TRAFFIC_2_RED_STOP_END,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
263.0540,-46.6916,-23.3878,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
263.1539,-46.5952,-23.4143,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
263.2539,-46.4983,-23.4388,0.000,TRAFFIC,1,TRAFFIC,,,TRAFFIC_LIGHT_RED,,PREVIEW_DEFAULT
263.3251,-46.4296,-23.4577,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.3539,-46.4021,-23.4660,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.4539,-46.3069,-23.4966,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.5539,-46.2126,-23.5299,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.6538,-46.1192,-23.5655,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.7538,-46.0266,-23.6031,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.8538,-45.9347,-23.6425,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
263.9537,-45.8435,-23.6834,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.0537,-45.7528,-23.7255,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.1537,-45.6625,-23.7685,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.2537,-45.5726,-23.8123,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.3536,-45.4830,-23.8565,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.4536,-45.3935,-23.9011,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.5536,-45.3041,-23.9458,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.6537,-45.2146,-23.9906,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.7536,-45.1252,-24.0353,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.8536,-45.0356,-24.0797,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
264.9536,-44.9459,-24.1239,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
265.0536,-44.8561,-24.1678,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
265.1535,-44.7661,-24.2113,0.000,NORMAL,1,ROUTE,,,,,PREVIEW_DEFAULT
